Año,Menos de 1,1 a 4,5 a 9,10 a 14,15 a 19,20 a 24,25 a 29,30 a 34,35 a 39,40 a 44,45 a 49,50 a 54,55 a 59,60 a 64,65 a 69,70 a 74,75 a 79,80 a 84,85 a 89,90 a 94,95 y m�s a�os
2019,"82,0","81,2","77,3","72,3","67,4","62,4","57,5","52,6","47,7","42,8","38,0","33,3","28,7","24,4","20,3","16,3","12,6","9,2","6,3","3,7","0,5"
2018,"81,4","80,8","76,9","71,9","66,9","61,9","57,0","52,1","47,2","42,3","37,5","32,8","28,3","24,0","19,9","15,9","12,2","8,9","6,1","3,6","0,5"
2017,"81,8","81,0","77,0","72,1","67,1","62,1","57,2","52,3","47,4","42,6","37,8","33,1","28,6","24,2","20,1","16,1","12,4","9,1","6,2","3,7","0,5"
2016,"81,6","80,8","76,9","71,9","66,9","62,0","57,0","52,1","47,3","42,4","37,7","33,0","28,5","24,2","20,0","16,1","12,3","9,0","6,2","3,7","0,5"
2015,"81,4","80,6","76,6","71,7","66,7","61,8","56,9","52,0","47,1","42,2","37,4","32,7","28,2","23,9","19,8","15,8","12,1","8,8","6,1","3,6","0,5"
2014,"81,6","80,8","76,8","71,9","66,9","62,0","57,0","52,1","47,2","42,3","37,5","32,9","28,4","24,1","20,0","16,0","12,3","9,0","6,2","3,7","0,5"
2013,"81,8","81,0","77,0","72,1","67,1","62,2","57,2","52,3","47,4","42,5","37,7","33,1","28,6","24,3","20,2","16,2","12,5","9,2","6,4","3,8","0,5"
2012,"81,4","80,6","76,7","71,7","66,7","61,8","56,8","51,9","47,0","42,2","37,4","32,8","28,3","24,0","19,9","16,0","12,2","8,9","6,1","3,7","0,5"
2011,"81,4","80,6","76,7","71,7","66,8","61,9","56,9","52,0","47,1","42,3","37,5","32,9","28,4","24,2","20,0","16,0","12,4","9,0","6,2","3,7","0,5"
2010,"81,5","80,8","76,8","71,8","66,9","61,9","57,0","52,1","47,2","42,4","37,7","33,0","28,6","24,3","20,1","16,2","12,5","9,3","6,4","3,8","0,5"
2009,"81,1","80,4","76,4","71,5","66,5","61,6","56,7","51,8","47,0","42,1","37,4","32,7","28,3","24,0","19,8","15,8","12,3","9,0","6,2","3,7","0,5"
2008,"80,1","79,4","75,5","70,6","65,7","60,8","55,9","51,1","46,2","41,4","36,7","32,2","27,8","23,5","19,4","15,5","11,9","8,8","6,1","3,6","0,5"
2007,"80,0","79,4","75,4","70,4","65,5","60,6","55,7","50,9","46,0","41,2","36,5","32,0","27,6","23,3","19,2","15,3","11,7","8,6","6,0","3,7","0,5"
2006,"79,9","79,2","75,3","70,4","65,4","60,5","55,7","50,8","46,0","41,2","36,5","32,0","27,6","23,3","19,2","15,4","11,8","8,8","6,1","3,7","0,5"
2005,"79,5","78,9","74,9","70,0","65,1","60,2","55,3","50,4","45,6","40,8","36,1","31,6","27,1","22,9","18,8","15,0","11,5","8,5","6,0","3,8","0,5"
2004,"79,0","78,5","74,6","69,6","64,6","59,8","55,0","50,1","45,3","40,5","35,8","31,3","26,9","22,6","18,7","14,9","11,4","8,4","5,9","3,7","0,5"
2003,"79,1","78,5","74,6","69,7","64,7","59,9","55,0","50,2","45,3","40,6","35,9","31,3","26,9","22,7","18,6","14,9","11,5","8,5","5,9","3,6","0,5"
2002,"79,2","78,6","74,6","69,7","64,7","59,9","55,0","50,1","45,3","40,6","35,9","31,4","26,9","22,7","18,7","14,9","11,5","8,5","5,8","3,7","0,5"
2001,"78,7","78,1","74,2","69,2","64,3","59,4","54,6","49,7","44,9","40,2","35,5","31,0","26,6","22,4","18,4","14,7","11,3","8,4","5,9","3,7","0,5"
2000,"77,4","76,9","73,0","68,1","63,2","58,3","53,5","48,6","43,8","39,1","34,6","30,1","25,7","21,5","17,4","13,9","10,8","8,2","5,7","3,6","0,5"
1999,"77,2","76,6","72,7","67,7","62,8","57,9","53,1","48,3","43,5","38,7","34,2","29,7","25,4","21,2","17,2","13,7","10,4","8,0","5,6","3,5","0,5"
